"product_version_id","product_id","brand","product_line","product_class","product_size","list_price","standard_cost"
1,0,"","","","",1678.51,
2,81,Solex,Standard,medium,medium,1151.96,649.49
3,45,Trek Bicycles,Road,low,medium,980.37,234.43
4,58,OHM Cycles,Standard,medium,medium,912.52,141.40
5,0,"","","","",2061.38,
6,0,"","","","",330.36,
7,0,"","","","",890.28,
8,73,Solex,Standard,medium,medium,1945.43,333.18
9,0,"","","","",1562.88,
10,0,"","","","",1202.34,
11,41,Norco Bicycles,Standard,low,medium,958.74,748.90
12,74,WeareA2B,Standard,medium,medium,1228.07,400.91
13,0,OHM Cycles,Road,medium,medium,742.54,667.40
14,5,Giant Bicycles,Standard,high,medium,1129.13,677.48
15,0,"","","","",1999.54,
16,41,Solex,Road,medium,medium,416.98,312.74
17,0,"","","","",294.35,
18,0,"","","","",149.30,
19,0,"","","","",205.84,
20,0,"","","","",483.12,
21,66,Solex,Standard,medium,medium,1163.89,589.27
22,79,Solex,Touring,medium,large,2083.94,675.03
23,0,"","","","",2028.26,
24,0,"","","","",1438.90,
25,53,OHM Cycles,Standard,medium,medium,795.34,101.58
26,0,"","","","",1776.08,
27,37,OHM Cycles,Standard,low,medium,1793.43,248.82
28,0,"","","","",1224.41,
29,0,"","","","",162.87,
30,0,"","","","",226.94,
31,53,Giant Bicycles,Standard,high,medium,1274.93,764.96
32,0,"","","","",753.76,
33,0,Solex,Standard,medium,medium,478.16,298.72
34,34,WeareA2B,Standard,medium,medium,1231.15,161.60
35,81,Norco Bicycles,Standard,medium,small,586.45,521.94
36,61,Norco Bicycles,Standard,medium,small,586.45,521.94
37,0,"","","","",1535.84,
38,0,"","","","",1281.60,
39,0,"","","","",1473.09,
40,0,"","","","",813.60,
41,93,OHM Cycles,Standard,high,medium,1458.17,874.90
42,0,"","","","",1788.93,
43,0,"","","","",74.89,
44,25,OHM Cycles,Standard,high,medium,2005.66,1203.40
45,71,Solex,Standard,high,large,1842.92,1105.75
46,27,Trek Bicycles,Standard,medium,medium,499.53,388.72
47,0,"","","","",1233.12,
48,65,WeareA2B,Standard,medium,medium,1807.45,778.69
49,0,"","","","",687.90,
50,100,Norco Bicycles,Road,medium,medium,1036.59,206.35
51,0,"","","","",101.55,
52,49,Solex,Standard,medium,large,1061.56,733.58
53,0,"","","","",922.15,
54,0,"","","","",317.30,
55,22,Solex,Standard,medium,medium,575.27,431.45
56,0,"","","","",1216.40,
57,96,Giant Bicycles,Standard,medium,large,1635.30,993.66
58,0,Norco Bicycles,Standard,medium,medium,360.40,270.30
59,85,WeareA2B,Standard,medium,medium,752.64,205.36
60,76,WeareA2B,Standard,low,medium,642.31,513.85
61,0,"","","","",16.08,
62,0,"","","","",1102.68,
63,33,OHM Cycles,Road,medium,small,1810.00,1610.90
64,48,WeareA2B,Standard,medium,medium,1762.96,950.52
65,0,OHM Cycles,Standard,low,medium,71.16,56.93
66,0,"","","","",26.15,
67,0,"","","","",240.72,
68,0,"","","","",1023.39,
69,0,Solex,Standard,medium,medium,100.35,75.26
70,0,"","","","",675.28,
71,0,"","","","",1997.68,
72,12,WeareA2B,Standard,medium,medium,1231.15,161.60
73,32,Giant Bicycles,Standard,medium,medium,642.70,211.37
74,0,"","","","",310.57,
75,19,Trek Bicycles,Mountain,low,medium,574.64,459.71
76,58,OHM Cycles,Road,medium,medium,1280.28,829.51
77,0,"","","","",1220.66,
78,60,Giant Bicycles,Standard,high,small,1977.36,1759.85
79,0,"","","","",311.57,
80,0,"","","","",966.91,
81,0,"","","","",1660.68,
82,57,WeareA2B,Touring,medium,large,1890.39,260.14
83,0,"","","","",1571.83,
84,0,"","","","",1989.30,
85,90,Norco Bicycles,Standard,low,medium,363.01,290.41
86,0,"","","","",1734.30,
87,92,WeareA2B,Standard,medium,small,1415.01,1259.36
88,12,Giant Bicycles,Standard,medium,large,1765.30,709.48
89,7,Trek Bicycles,Road,low,medium,980.37,234.43
90,0,"","","","",1972.01,
91,0,"","","","",1678.71,
92,0,"","","","",172.09,
93,25,Giant Bicycles,Road,medium,medium,1538.99,829.65
94,0,"","","","",1617.32,
95,6,Solex,Standard,high,medium,748.17,448.90
96,0,"","","","",1095.66,
97,0,OHM Cycles,Standard,medium,medium,183.86,137.90
98,0,"","","","",1740.16,
99,0,"","","","",1703.18,
100,66,Giant Bicycles,Road,low,small,590.26,525.33
101,8,Solex,Road,medium,small,1703.52,1516.13
102,0,"","","","",1150.59,
103,0,"","","","",489.58,
104,0,WeareA2B,Standard,medium,medium,60.34,45.26
105,18,Solex,Standard,medium,medium,575.27,431.45
106,0,"","","","",494.96,
107,56,OHM Cycles,Standard,medium,medium,183.86,137.90
108,0,Norco Bicycles,Road,medium,medium,543.39,407.54
109,30,OHM Cycles,Standard,medium,medium,1227.34,770.89
110,100,Trek Bicycles,Standard,medium,small,1386.84,1234.29
111,64,Trek Bicycles,Standard,medium,large,1469.44,596.55
112,0,"","","","",1958.34,
113,86,OHM Cycles,Standard,medium,medium,235.63,125.07
114,0,"","","","",1888.45,
115,10,WeareA2B,Touring,medium,medium,1466.68,363.25
116,0,"","","","",1349.47,
117,0,"","","","",1294.37,
118,0,"","","","",753.01,
119,0,"","","","",1527.25,
120,2,Solex,Standard,medium,medium,71.49,53.62
121,0,"","","","",437.51,
122,0,"","","","",571.27,
123,91,Solex,Standard,medium,medium,100.35,75.26
124,0,"","","","",1196.65,
125,64,Giant Bicycles,Standard,high,small,1977.36,1759.85
126,0,"","","","",1223.24,
127,0,"","","","",1672.07,
128,0,"","","","",731.41,
129,0,"","","","",1294.66,
130,0,"","","","",2062.95,
131,0,"","","","",1148.41,
132,15,Norco Bicycles,Standard,low,medium,958.74,748.90
133,0,"","","","",1695.42,
134,0,"","","","",850.00,
135,98,OHM Cycles,Standard,medium,medium,795.34,101.58
136,75,Giant Bicycles,Touring,medium,large,1873.97,863.95
137,0,"","","","",1502.93,
138,28,Solex,Road,medium,small,1703.52,1516.13
139,50,Giant Bicycles,Standard,medium,medium,642.70,211.37
140,0,"","","","",1689.63,
141,0,"","","","",840.02,
142,89,Giant Bicycles,Standard,medium,large,1812.75,582.48
143,0,"","","","",605.54,
144,1,Giant Bicycles,Standard,medium,medium,1403.50,954.82
145,87,Giant Bicycles,Standard,high,medium,1179.00,707.40
146,0,Trek Bicycles,Standard,medium,medium,499.53,388.72
147,0,"","","","",1615.62,
148,0,"","","","",899.92,
149,11,Trek Bicycles,Standard,medium,small,1775.81,1580.47
150,0,"","","","",1862.82,
151,0,"","","","",1315.16,
152,0,"","","","",1292.13,
153,32,Giant Bicycles,Standard,high,medium,1179.00,707.40
154,0,"","","","",1487.80,
155,36,Solex,Standard,low,medium,1289.85,74.51
